line_number,trans_date_trans_time,merchant,category,amt,gender,city,state,city_pop,job,unix_time,is_fraud,age
49,2019-01-02 14:26:42,"fraud_Bradtke, Torp and Bahringer",personal_care,8.06,F,Blooming Grove,TX,1563,Financial adviser,1325514402,0,46
50,2019-01-02 15:45:22,fraud_Erdman-Ebert,personal_care,81.47,M,Atlantic,VA,741,"Geologist, engineering",1325519122,0,38
51,2019-01-02 16:42:32,fraud_Grimes LLC,entertainment,7.47,F,Paauilo,HI,1490,"Scientist, research (maths)",1325522552,0,33
52,2019-01-02 17:54:13,fraud_Wuckert-Goldner,home,50.7,F,Lomax,IL,725,Environmental consultant,1325526853,0,52
53,2019-01-02 19:01:05,fraud_Denesik and Sons,shopping_pos,285.05,F,Preston,CT,4720,Broadcast presenter,1325530865,0,47
54,2019-01-02 20:07:30,"fraud_Nienow, Ankunding and Collier",misc_pos,7.36,M,Espanola,NM,18408,Historic buildings inspector/conservation officer,1325534850,0,52
55,2019-01-02 21:06:33,fraud_Ernser-Feest,home,143.15,F,Altonah,UT,302,"Sales professional, IT",1325538393,0,34
56,2019-01-02 22:11:16,fraud_Douglas-White,entertainment,8.88,M,Muskegon,MI,128715,Historic buildings inspector/conservation officer,1325542276,0,29
57,2019-01-02 23:07:10,fraud_Morissette-Schaefer,personal_care,1.42,M,Princeton,IA,1426,Agricultural consultant,1325545630,0,67
58,2019-01-03 00:03:57,"fraud_Streich, Hansen and Veum",gas_transport,66.61,M,Birmingham,AL,493806,Musician,1325549037,0,44
59,2019-01-03 01:34:09,"fraud_Raynor, Reinger and Hagenes",gas_transport,91.29,M,Muskegon,MI,128715,Historic buildings inspector/conservation officer,1325554449,0,29
60,2019-01-03 03:03:58,fraud_Runolfsson and Sons,grocery_net,53.23,M,Alva,WY,110,"Administrator, local government",1325559838,0,51
61,2019-01-03 04:33:45,"fraud_Jenkins, Hauck and Friesen",gas_transport,63.91,M,Valentine,NE,4005,Network engineer,1325565225,0,79
62,2019-01-03 06:21:11,"fraud_Kuhic, Bins and Pfeffer",shopping_net,103.39,M,Leetsdale,PA,1140,"Administrator, education",1325571671,0,38
63,2019-01-03 08:01:17,fraud_Pagac LLC,shopping_pos,7.21,F,Harwood,MD,3289,Quantity surveyor,1325577677,0,91
64,2019-01-03 09:26:25,"fraud_Lind, Huel and McClure",gas_transport,75.17,M,Murfreesboro,TN,158701,"Journalist, newspaper",1325582785,0,46
65,2019-01-03 10:58:15,"fraud_Roob, Conn and Tremblay",shopping_pos,2.81,M,Schaumburg,IL,92294,Claims inspector/assessor,1325588295,0,55
66,2019-01-03 12:23:23,fraud_Kihn Inc,shopping_pos,7.71,F,Saint Amant,LA,10076,"Surveyor, rural practice",1325593403,0,47
67,2019-01-03 13:17:12,"fraud_Kutch, Steuber and Gerhold",food_dining,89.98,M,Espanola,NM,18408,Historic buildings inspector/conservation officer,1325596632,0,52
68,2019-01-03 14:08:56,fraud_Kertzmann LLC,health_fitness,43.1,M,Schaumburg,IL,92294,Claims inspector/assessor,1325599736,0,55
69,2019-01-03 15:02:11,"fraud_Daugherty, Pouros and Beahan",shopping_pos,77.11,M,Bessemer,AL,71463,Radio broadcast assistant,1325602931,0,35
70,2019-01-03 15:59:43,fraud_Veum-Koelpin,travel,5.14,F,Marathon,TX,498,Lexicographer,1325606383,0,34
71,2019-01-03 17:01:25,fraud_Pfeffer and Sons,shopping_pos,6.24,F,De Witt,AR,5161,Electrical engineer,1325610085,0,31
72,2019-01-03 18:14:37,fraud_Bode-Schuster,kids_pets,94.62,F,Elberta,MI,372,"Exhibitions officer, museum/gallery",1325614477,0,29
73,2019-01-03 19:09:30,fraud_Schmeler-Howe,personal_care,81.04,F,Lakeland,FL,237282,Clothing/textile technologist,1325617770,0,45
74,2019-01-03 20:03:43,fraud_Champlin-Casper,home,23.86,F,Carlotta,CA,1139,"Therapist, occupational",1325621023,0,73
75,2019-01-03 21:05:43,fraud_Simonis-Prohaska,misc_pos,7.92,M,Fayetteville,NC,238602,"Scientist, research (maths)",1325624743,0,31
76,2019-01-03 22:00:26,"fraud_Turcotte, Batz and Buckridge",health_fitness,79.18,M,Saint Bonaventure,NY,1453,Toxicologist,1325628026,0,50
77,2019-01-03 23:00:32,fraud_Padberg-Sauer,home,11.86,F,Napa,CA,94014,Airline pilot,1325631632,0,39
78,2019-01-03 23:52:17,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1.95,M,Chester,MD,5848,Paediatric nurse,1325634737,0,43
79,2019-01-04 01:19:23,fraud_Ortiz Group,grocery_net,34.42,M,Naples,FL,276002,"Programme researcher, broadcasting/film/video",1325639963,0,45
80,2019-01-04 02:44:23,fraud_Padberg-Welch,grocery_pos,197.9,F,De Witt,AR,5161,Electrical engineer,1325645063,0,31
81,2019-01-04 03:52:14,fraud_Connelly PLC,food_dining,56.92,F,Winslow,AR,2786,Musician,1325649134,0,59
82,2019-01-04 05:19:02,fraud_Cartwright-Harris,grocery_pos,146.59,F,Colton,WA,761,Chief Marketing Officer,1325654342,0,81
83,2019-01-04 06:35:59,"fraud_Osinski, Ledner and Leuschke",grocery_pos,145.85,F,Ratcliff,TX,43,"Engineer, production",1325658959,0,75
84,2019-01-04 07:50:25,fraud_Huel-Langworth,misc_net,4.34,M,Scarborough,ME,18760,Make,1325663425,0,91
85,2019-01-04 09:13:46,fraud_Herman Inc,misc_pos,39.61,M,Bolivar,PA,1770,"Administrator, local government",1325668426,0,30
86,2019-01-04 10:10:52,fraud_McGlynn-Jaskolski,misc_pos,1.89,F,Eureka,IL,6713,Archivist,1325671852,0,79
87,2019-01-04 11:27:49,fraud_Koepp-Witting,grocery_pos,105.91,M,Burbank,OK,471,Sub,1325676469,0,83
88,2019-01-04 12:35:50,fraud_Kilback Group,food_dining,7.73,M,Heiskell,TN,4729,"Geologist, wellsite",1325680550,0,42
89,2019-01-04 13:26:11,fraud_Bogisich-Weimann,kids_pets,21.77,M,Arlington,VA,207410,Mudlogger,1325683571,0,40
90,2019-01-04 14:16:40,fraud_Bins-Tillman,entertainment,1.88,M,Seneca,WI,153,Quantity surveyor,1325686600,0,62
91,2019-01-04 15:00:25,"fraud_Bernier, Volkman and Hoeger",misc_net,44.9,F,Drakes Branch,VA,1970,Energy engineer,1325689225,0,39
92,2019-01-04 15:48:14,fraud_Skiles LLC,home,93.78,F,Holcomb,KS,2691,Arboriculturist,1325692094,0,31
93,2019-01-04 16:43:07,fraud_Terry-Huel,shopping_net,5.81,M,Crownpoint,NM,5662,IT consultant,1325695387,0,35
94,2019-01-04 17:32:51,fraud_Dare-Gibson,health_fitness,10.16,M,Malad City,ID,4154,Nature conservation officer,1325698371,0,62
95,2019-01-04 18:14:03,fraud_Cummerata-Hilpert,entertainment,160.28,F,Sun City,CA,54287,"Designer, exhibition/display",1325700843,0,52
96,2019-01-04 19:05:56,"fraud_Hettinger, McCullough and Fay",home,11.45,F,Atglen,PA,3066,Product manager,1325703956,0,96
97,2019-01-04 19:42:56,fraud_Eichmann-Kilback,home,76.73,M,Emporium,PA,4533,Public affairs consultant,1325706176,0,55
98,2019-01-04 20:34:19,fraud_Kub PLC,personal_care,56.79,F,Preston,CT,4720,Broadcast presenter,1325709259,0,47
99,2019-01-04 21:24:19,fraud_Dickinson Ltd,personal_care,12.15,F,Albany,NY,151022,"Designer, textile",1325712259,0,85
100,2019-01-04 22:03:41,fraud_Ernser-Lynch,food_dining,87.35,M,Lima,OH,86954,"Copywriter, advertising",1325714621,0,32
101,2019-01-04 22:55:09,"fraud_Gutmann, McLaughlin and Wiza",home,123.06,M,Cleveland,AL,3996,Aid worker,1325717709,0,47
102,2019-01-04 23:43:58,fraud_Kemmer-Buckridge,misc_pos,6.51,M,Keller,TX,95035,Probation officer,1325720638,0,37
103,2019-01-05 00:49:11,fraud_Erdman-Kertzmann,gas_transport,71.84,M,Oakland,TN,9496,Furniture conservator/restorer,1325724551,0,31
104,2019-01-05 02:20:39,fraud_Kutch and Sons,grocery_pos,170.87,F,Sturgis,MS,1923,Medical physicist,1325730039,0,64
105,2019-01-05 03:40:19,fraud_O'Keefe-Hudson,grocery_pos,131.23,F,Central,IN,350,Counsellor,1325734819,0,69
106,2019-01-05 04:49:24,fraud_Dooley Inc,shopping_pos,7.98,F,Enola,AR,969,"Physicist, medical",1325738964,0,70
107,2019-01-05 06:15:05,fraud_Lind-Buckridge,entertainment,16.17,F,Minneapolis,MN,1022298,Analytical chemist,1325744105,0,57
108,2019-01-05 07:22:44,fraud_Hickle Group,shopping_pos,13.51,M,Dalton,WI,1628,Civil Service fast streamer,1325748164,0,57
109,2019-01-05 08:50:05,fraud_Mraz-Herzog,gas_transport,38.64,F,Esbon,KS,242,Tourism officer,1325753405,0,37
110,2019-01-05 10:02:19,fraud_Huel-Langworth,misc_net,5.19,M,Moulton,IA,1132,Probation officer,1325757739,0,63
111,2019-01-05 11:16:52,fraud_Cummings LLC,gas_transport,55.87,M,Moulton,IA,1132,Probation officer,1325762212,0,63
112,2019-01-05 12:36:51,fraud_Hoppe-Parisian,kids_pets,50.39,F,Moravian Falls,NC,3495,"Psychologist, counselling",1325767011,0,36
113,2019-01-05 13:42:40,fraud_Stamm-Rodriguez,misc_pos,2.16,F,Coyle,OK,1493,Amenity horticulturist,1325770960,0,39
114,2019-01-05 14:36:13,"fraud_Becker, Harris and Harvey",personal_care,270.87,F,Manor,PA,1472,Public affairs consultant,1325774173,0,83
115,2019-01-05 15:29:40,"fraud_Hagenes, Hermann and Stroman",travel,489.82,F,Steuben,ME,1131,Make,1325777380,0,65
116,2019-01-05 16:17:43,"fraud_Rodriguez, Yost and Jenkins",misc_net,8.69,F,Owensville,MO,6703,Naval architect,1325780263,0,26
117,2019-01-05 17:03:20,"fraud_Conroy, Balistreri and Gorczany",health_fitness,42.44,M,Lake Jackson,TX,28739,Futures trader,1325783000,0,24
118,2019-01-05 17:52:55,"fraud_Monahan, Hermann and Johns",travel,5.73,F,Coleman,TX,5908,Radio producer,1325785975,0,62
119,2019-01-05 18:43:10,"fraud_Gutmann, McLaughlin and Wiza",home,81.21,F,Scotland,MD,313,Insurance underwriter,1325788990,0,48
120,2019-01-05 19:32:54,fraud_Gleason-Macejkovic,shopping_net,8.12,F,Thomas,WV,836,Forensic psychologist,1325791974,0,43
121,2019-01-05 20:32:47,fraud_Baumbach Ltd,personal_care,8.45,F,Iselin,NJ,18459,Emergency planning/management officer,1325795567,0,95
122,2019-01-05 21:06:41,fraud_Cartwright PLC,kids_pets,45.57,M,Fiddletown,CA,832,Immigration officer,1325797601,0,37
123,2019-01-05 22:02:15,fraud_Jakubowski Inc,home,54.28,M,Rockwood,PA,3684,General practice doctor,1325800935,0,48
124,2019-01-05 22:44:52,"fraud_Cole, Hills and Jewess",home,11.94,M,Cleveland,AL,3996,Aid worker,1325803492,0,47
125,2019-01-05 23:36:55,fraud_Simonis-Prohaska,misc_pos,184.85,F,Meridian,ID,84106,Intelligence analyst,1325806615,0,53
126,2019-01-06 00:26:24,fraud_Heidenreich PLC,grocery_pos,24.59,M,Morrisdale,PA,3688,Advice worker,1325809584,0,51
127,2019-01-06 01:09:57,fraud_Goldner-Lemke,entertainment,465.34,F,Ash Flat,AR,2856,Hydrologist,1325812197,0,98
128,2019-01-06 01:58:08,"fraud_Ferry, Lynch and Kautzer",misc_net,66.5,F,Baton Rouge,LA,378909,"Designer, furniture",1325815088,0,47
129,2019-01-06 03:04:35,fraud_Corwin-Gorczany,misc_net,7.49,F,Orient,WA,149,Special educational needs teacher,1325819075,0,46
130,2019-01-06 04:01:14,fraud_Schamberger-O'Keefe,grocery_pos,151.76,F,Mifflin,PA,1909,Mining engineer,1325822474,0,70
131,2019-01-06 04:58:05,fraud_Luettgen PLC,gas_transport,71.35,M,Wales,AK,145,"Administrator, education",1325825885,0,85
132,2019-01-06 05:53:09,fraud_Lockman Ltd,grocery_pos,99.63,F,Cuthbert,GA,5726,Fitness centre manager,1325829189,0,77
133,2019-01-06 06:42:25,fraud_Koss and Sons,gas_transport,48.25,M,Huntsville,AL,190178,Television production assistant,1325832145,0,51
134,2019-01-06 07:34:10,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,87.41,F,Redford,MO,241,Investment analyst,1325835250,0,50
135,2019-01-06 08:28:28,fraud_Huel Ltd,misc_net,76.83,M,Cokeburg,PA,632,Dealer,1325838508,0,35
136,2019-01-06 09:30:28,"fraud_Streich, Hansen and Veum",gas_transport,68.76,M,Bolton,NC,2290,"Engineer, biomedical",1325842228,0,79
137,2019-01-06 10:28:44,"fraud_Schumm, Bauch and Ondricka",grocery_pos,53.72,M,Warren,MI,134056,"Doctor, hospital",1325845724,0,44
138,2019-01-06 11:17:30,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,8.84,F,Ratcliff,TX,43,"Engineer, production",1325848650,0,75
139,2019-01-06 12:13:39,fraud_Kuphal-Toy,food_dining,1.19,F,Barnard,SD,63,Systems developer,1325852019,0,55
140,2019-01-06 12:52:20,"fraud_Nicolas, Hills and McGlynn",entertainment,34.35,M,Iliff,CO,648,Community arts worker,1325854340,0,55
141,2019-01-06 13:25:32,fraud_Adams-Barrows,health_fitness,51.47,M,Port Costa,CA,198,Armed forces training and education officer,1325856332,0,65
142,2019-01-06 14:01:32,fraud_White and Sons,home,130.51,F,Umatilla,FL,11432,Private music teacher,1325858492,0,38
143,2019-01-06 14:45:23,"fraud_Larkin, Stracke and Greenfelder",entertainment,43.34,F,Valdosta,GA,94325,Educational psychologist,1325861123,0,37
144,2019-01-06 15:22:10,fraud_Stark-Batz,entertainment,16.58,F,Manor,PA,1472,Public affairs consultant,1325863330,0,83
145,2019-01-06 15:57:24,fraud_Reilly LLC,home,66.97,M,Spring,TX,316665,"Education officer, museum",1325865444,0,34
146,2019-01-06 16:30:22,fraud_Lind-Buckridge,entertainment,202.63,M,Cochranton,PA,5507,Retail merchandiser,1325867422,0,51
147,2019-01-06 17:05:25,fraud_Brown Inc,kids_pets,97.69,M,Belmond,IA,3032,Community pharmacist,1325869525,0,60
148,2019-01-06 17:40:44,fraud_Kassulke Inc,entertainment,78.12,M,Beaverdam,OH,349,Museum/gallery conservator,1325871644,0,45
149,2019-01-06 18:12:56,fraud_Champlin-Casper,home,114.35,M,Port Charlotte,FL,79008,Quantity surveyor,1325873576,0,40
150,2019-01-06 18:47:46,"fraud_Koss, Hansen and Lueilwitz",home,17.51,F,Goreville,IL,3119,"Teacher, secondary school",1325875666,0,82
151,2019-01-06 19:27:23,fraud_Champlin and Sons,home,14.01,M,West Eaton,NY,176,Science writer,1325878043,0,60
152,2019-01-06 20:04:52,fraud_Berge-Hills,kids_pets,46.82,M,Cokeburg,PA,632,Dealer,1325880292,0,35
153,2019-01-06 20:39:18,"fraud_Hagenes, Kohler and Hoppe",food_dining,130.81,F,Coleman,TX,5908,Radio producer,1325882358,0,62
154,2019-01-06 21:13:33,fraud_Friesen Ltd,health_fitness,8.52,F,Belle Fourche,SD,8007,Hospital pharmacist,1325884413,0,84
155,2019-01-06 21:47:42,fraud_Stark-Batz,entertainment,155.86,F,Fordoche,LA,1178,Community education officer,1325886462,0,73
156,2019-01-06 22:21:24,"fraud_Parisian, Schiller and Altenwerth",misc_net,2.07,F,University,MS,4198,Curator,1325888484,0,23
157,2019-01-06 22:57:56,"fraud_Medhurst, Cartwright and Ebert",personal_care,23.57,F,Kirby,OH,118,Private music teacher,1325890676,0,67
158,2019-01-06 23:33:57,fraud_Gleason-Macejkovic,shopping_net,909.29,F,Browning,MO,602,Cytogeneticist,1325892837,1,70
159,2019-01-07 00:13:57,fraud_Conroy-Cruickshank,gas_transport,34.54,M,Corriganville,MD,626,Energy engineer,1325895237,0,64
160,2019-01-07 00:59:16,fraud_Hermann and Sons,shopping_pos,4.6,M,Marienville,PA,4172,"Copywriter, advertising",1325897956,0,62
161,2019-01-07 01:46:50,fraud_Pacocha-Bauch,shopping_pos,59.49,F,Washington Court House,OH,22305,Television floor manager,1325900810,0,85
162,2019-01-07 02:20:53,fraud_Koepp-Witting,grocery_pos,57.18,M,Crownpoint,NM,5662,IT consultant,1325902853,0,35
163,2019-01-07 03:02:16,fraud_Hudson-Ratke,grocery_pos,108.38,F,Keisterville,PA,184,Systems developer,1325905336,0,79
164,2019-01-07 03:56:27,fraud_Friesen-D'Amore,gas_transport,84.23,M,Woodville,AL,3395,"Editor, commissioning",1325908587,0,45
165,2019-01-07 04:38:52,fraud_Berge LLC,gas_transport,77.76,F,Tomales,CA,337,Occupational psychologist,1325911132,0,70
166,2019-01-07 05:27:01,fraud_McDermott-Rice,misc_pos,30.81,M,Elkhart,IA,1195,Trading standards officer,1325914021,0,50
167,2019-01-07 06:13:47,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,48.69,M,Allentown,NY,239,Radio producer,1325916827,0,68
168,2019-01-07 06:56:14,fraud_Wolf Inc,grocery_pos,52.51,F,Clarks Mills,PA,606,Energy manager,1325919374,0,27
169,2019-01-07 07:50:14,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,157.48,F,Rule,TX,932,"Physicist, medical",1325922614,0,70
170,2019-01-07 08:34:40,fraud_Huel Ltd,misc_net,103.69,M,Alder,MT,286,Chief of Staff,1325925280,0,35
171,2019-01-07 09:26:18,fraud_Harris Inc,gas_transport,89.45,F,Enola,AR,969,"Physicist, medical",1325928378,0,70
172,2019-01-07 10:19:33,fraud_Rodriguez Group,gas_transport,74.24,F,Shields,ND,77,Film/video editor,1325931573,0,34
173,2019-01-07 11:10:19,fraud_Dickinson-Rempel,misc_pos,91.88,F,Holcomb,KS,2691,Arboriculturist,1325934619,0,31
174,2019-01-07 12:02:00,fraud_Spencer PLC,entertainment,96.37,M,Ollie,IA,568,Commercial horticulturist,1325937720,0,55
175,2019-01-07 12:30:44,fraud_Champlin-Casper,home,28.52,M,Hancock,MD,3766,Press photographer,1325939444,0,40
176,2019-01-07 12:56:22,fraud_Cummerata-Hilpert,entertainment,1.69,M,Union,WV,2443,Chartered public finance accountant,1325940982,0,83
177,2019-01-07 13:23:04,"fraud_Gutmann, McLaughlin and Wiza",home,67.85,M,Mooresville,NC,69793,Control and instrumentation engineer,1325942584,0,71
178,2019-01-07 13:49:06,"fraud_Goyette, Howell and Collier",shopping_pos,159.27,M,Lake Jackson,TX,28739,Futures trader,1325944146,0,24
179,2019-01-07 14:20:20,"fraud_Hahn, Douglas and Schowalter",travel,4.84,F,West Columbia,SC,52126,Chemical engineer,1325946020,0,95
180,2019-01-07 14:52:50,fraud_Fadel-Hilpert,health_fitness,48.99,F,Kansas City,MO,545147,Counsellor,1325947970,0,37
181,2019-01-07 15:19:04,fraud_Gerhold LLC,home,38.46,F,Red River,NM,606,"Surveyor, land/geomatics",1325949544,0,36
182,2019-01-07 15:47:41,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,97.38,F,Superior,AZ,2872,Petroleum engineer,1325951261,0,37
183,2019-01-07 16:21:46,fraud_Runte-Mohr,food_dining,49.74,M,Pittsburgh,PA,687276,"Scientist, marine",1325953306,0,51
184,2019-01-07 16:53:43,"fraud_Reichel, Bradtke and Blanda",travel,1621.24,M,Edmond,OK,116001,Media buyer,1325955223,0,31
185,2019-01-07 17:19:02,fraud_Beer-Jast,kids_pets,37.14,M,Leo,IN,5341,Biomedical engineer,1325956742,0,30
186,2019-01-07 17:50:47,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,32.16,M,Matawan,NJ,30770,Drilling engineer,1325958647,0,31
187,2019-01-07 18:16:30,fraud_Wuckert-Goldner,home,83.51,M,Purmela,TX,258,Web designer,1325960190,0,81
188,2019-01-07 18:44:11,fraud_Barton LLC,kids_pets,162.4,M,Pittsburgh,PA,687276,"Scientist, marine",1325961851,0,51
189,2019-01-07 19:14:37,fraud_Gleason-Macejkovic,shopping_net,4.7,F,De Soto,KS,5760,Chief Executive Officer,1325963677,0,46
190,2019-01-07 19:39:56,fraud_Connelly-Carter,home,15.66,M,Woodville,AL,3395,"Editor, commissioning",1325965196,0,45
191,2019-01-07 20:11:43,fraud_Prosacco LLC,personal_care,33.77,F,Bristol,PA,21125,"Administrator, charities/voluntary organisations",1325967103,0,39
192,2019-01-07 20:43:13,"fraud_Pouros, Walker and Spencer",kids_pets,12.79,F,Sebring,FL,50835,Environmental consultant,1325968993,0,38
193,2019-01-07 21:15:58,fraud_Gottlieb-Hansen,personal_care,68.35,F,Grandview,TX,5875,"Radiographer, therapeutic",1325970958,0,32
194,2019-01-07 21:45:00,"fraud_Kunze, Larkin and Mayert",travel,7.34,F,Sixes,OR,217,Retail merchandiser,1325972700,0,96
195,2019-01-07 22:13:23,fraud_Dickinson Ltd,personal_care,31.89,M,Thida,AR,111,Careers information officer,1325974403,0,24
